Trial Number,Experiment Part,Avatar,Obstacle Type,Obstacle Height,Affordance Height,time stamp,Eye Height
1,0,0,0,1,0.8588197,8/9/2022 11:59,1.755
2,0,0,0,2,0.8626403,8/9/2022 12:00,
1,1,0,0,1,0.8138198,8/9/2022 12:01,
2,1,0,0,2,0.8976402,8/9/2022 12:02,
3,1,0,0,3,0.8138198,8/9/2022 12:02,
4,1,0,0,4,0.8176403,8/9/2022 12:03,
1,2,0,0,1,0.7788198,8/9/2022 12:03,
2,2,0,0,2,0.8426403,8/9/2022 12:04,
1,0,0,1,1,0.7638198,8/9/2022 12:05,
2,0,0,1,2,0.7526404,8/9/2022 12:06,
1,1,0,1,1,0.7888198,8/9/2022 12:06,
2,1,0,1,2,0.7926403,8/9/2022 12:07,
3,1,0,1,3,0.7938198,8/9/2022 12:07,
4,1,0,1,4,0.8176403,8/9/2022 12:08,
1,2,0,1,1,0.7638198,8/9/2022 12:08,
2,2,0,1,2,0.7476404,8/9/2022 12:09,
1,0,1,0,1,0.8288198,8/9/2022 12:10,
2,0,1,0,2,0.8126403,8/9/2022 12:10,
1,1,1,0,1,0.7688198,8/9/2022 12:11,
2,1,1,0,2,0.7826403,8/9/2022 12:12,
3,1,1,0,3,0.7638198,8/9/2022 12:13,
4,1,1,0,4,0.8376403,8/9/2022 12:14,
1,2,1,0,1,0.7738198,8/9/2022 12:15,
2,2,1,0,2,0.7926403,8/9/2022 12:15,
1,0,1,1,1,0.7938198,8/9/2022 12:16,
2,0,1,1,2,0.7676404,8/9/2022 12:16,
1,1,1,1,1,0.7838198,8/9/2022 12:16,
2,1,1,1,2,0.7676404,8/9/2022 12:17,
3,1,1,1,3,0.8388197,8/9/2022 12:17,
4,1,1,1,4,0.7976403,8/9/2022 12:18,
1,2,1,1,1,0.8088198,8/9/2022 12:19,
2,2,1,1,2,0.8576403,8/9/2022 12:19,
1,0,0,0,1,-1,1.143819,9/28/2022 1:34:17 PM
2,0,0,1,1,-1,1.08764,9/28/2022 1:34:24 PM
1,1,0,1,1,-1,-1,9/28/2022 1:41:39 PM
2,1,1,0,1,-1,-1,9/28/2022 1:42:10 PM
1,1,0,0,1,1,-1,9/28/2022 1:45:36 PM
1,1,0,0,1,0,-1,9/28/2022 2:27:25 PM
1,1,0,0,1,0,-1,9/28/2022 2:31:35 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:53 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:54 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,1,0,1,-1,-1,9/28/2022 2:37:55 PM
1,1,0,0,1,1,-1,9/28/2022 2:37:55 PM
2,1,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,2,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,3,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,4,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,5,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,6,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,7,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,8,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,9,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,10,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,11,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,12,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,13,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,14,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,15,1,1,1,1,-1,9/28/2022 2:38:20 PM
2,16,0,1,1,1,-1,9/28/2022 2:38:20 PM
2,17,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,18,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,19,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,20,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,21,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,22,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,23,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,24,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,25,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,26,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,27,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,28,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,29,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,30,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,31,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,32,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,33,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,34,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,35,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,36,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,37,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,38,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,39,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,40,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,41,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,42,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,43,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,44,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,45,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,46,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,47,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,48,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,49,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,50,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,51,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,52,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,53,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,54,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,55,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,56,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,57,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,58,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,59,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,60,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,61,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,62,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,63,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,64,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,65,1,1,1,1,-1,9/28/2022 2:38:21 PM
2,66,0,1,1,1,-1,9/28/2022 2:38:21 PM
2,67,1,1,1,1,-1,9/28/2022 2:38:22 PM
2,68,0,1,1,1,-1,9/28/2022 2:38:22 PM
2,69,1,1,1,1,-1,9/28/2022 2:38:22 PM
2,70,0,1,1,1,-1,9/28/2022 2:38:22 PM
2,71,1,1,1,1,-1,9/28/2022 2:38:22 PM
2,72,0,1,1,1,-1,9/28/2022 2:38:22 PM
2,73,1,1,1,1,-1,9/28/2022 2:38:22 PM
2,74,0,1,1,1,-1,9/28/2022 2:38:22 PM
2,75,1,1,1,1,-1,9/28/2022 2:38:22 PM
2,76,0,1,1,1,-1,9/28/2022 2:38:22 PM
