TrialNum,part,avatar,type,height,affordance,time,eyeHeight
1,0,0,0,1,0.7809997,8/6/2022 13:45,1.34
2,0,0,0,2,0.6070002,8/6/2022 13:46,
1,1,0,0,1,0.6259998,8/6/2022 13:47,
2,1,0,0,2,0.7220001,8/6/2022 13:47,
3,2,0,0,3,0.5509999,8/6/2022 13:48,
4,2,0,0,4,0.6270002,8/6/2022 13:48,
2,3,0,0,2,0.5720003,8/6/2022 13:49,
1,0,0,1,1,0.5959998,8/6/2022 13:54,
2,0,0,1,2,0.6220002,8/6/2022 13:54,
1,1,0,1,1,0.6409998,8/6/2022 13:54,
2,1,0,1,2,0.6470002,8/6/2022 13:55,
3,2,0,1,3,0.6209998,8/6/2022 13:55,
4,2,0,1,4,0.6570002,8/6/2022 13:56,
1,3,0,1,1,0.5609999,8/6/2022 13:56,
2,3,0,1,2,0.5470003,8/6/2022 13:56,
1,0,1,0,1,0.5509999,8/6/2022 13:59,
2,0,1,0,2,0.5520003,8/6/2022 13:59,
1,1,1,0,1,0.5209999,8/6/2022 13:59,
2,1,1,0,2,0.6020002,8/6/2022 14:00,
3,2,1,0,3,0.5409999,8/6/2022 14:00,
4,2,1,0,4,0.6170002,8/6/2022 14:00,
1,3,1,0,1,0.6009998,8/6/2022 14:01,
2,3,1,0,2,0.5720003,8/6/2022 14:01,
1,0,1,1,1,0.6059998,8/6/2022 14:03,
2,0,1,1,2,0.6070002,8/6/2022 14:03,
1,1,1,1,1,0.5959998,8/6/2022 14:03,
2,1,1,1,2,0.5770003,8/6/2022 14:04,
3,2,1,1,3,0.5909998,8/6/2022 14:04,
4,2,1,1,4,0.6270002,8/6/2022 14:05,
1,3,1,1,1,0.5409999,8/6/2022 14:05,
2,3,1,1,2,0.6170002,8/6/2022 14:05,
